schedtime,carrier,dest,distance,flightnumber,origin,weather,dayweek,weekmonth,tailnu,delay
14,OH,JFK,184,5,BWI,0,4,0,A,ontime
16,DH,JFK,213,6,DCA,0,4,0,J,ontime
12,DH,LGA,229,7,IAD,0,4,0,R,ontime
17,DH,LGA,229,7,IAD,0,4,0,R,ontime
10,DH,LGA,229,7,IAD,0,4,0,R,ontime
8,DH,JFK,228,7,IAD,0,4,0,R,ontime
12,DH,JFK,228,7,IAD,0,4,0,E,ontime
16,DH,JFK,228,7,IAD,0,4,0,E,ontime
17,DH,JFK,228,7,IAD,0,4,0,E,ontime
21,DH,JFK,228,7,IAD,0,4,0,R,ontime
21,DH,LGA,229,7,IAD,0,4,0,R,ontime
14,DL,JFK,213,0,DCA,0,4,0,E,ontime
9,DL,LGA,214,1,DCA,0,4,0,L,ontime
12,DL,LGA,214,1,DCA,0,4,0,L,ontime
14,DL,LGA,214,1,DCA,0,4,0,L,ontime
17,DL,LGA,214,1,DCA,0,4,0,L,ontime
20,DL,LGA,214,1,DCA,0,4,0,L,ontime
15,MQ,JFK,213,4,DCA,0,4,0,Q,ontime
6,MQ,JFK,213,4,DCA,0,4,0,Q,ontime
18,MQ,JFK,213,4,DCA,0,4,0,Q,ontime
9,MQ,LGA,214,4,DCA,0,4,0,Q,ontime
13,MQ,LGA,214,4,DCA,0,4,0,Q,ontime
14,MQ,LGA,214,4,DCA,0,4,0,Q,ontime
15,MQ,LGA,214,4,DCA,0,4,0,Q,ontime
19,MQ,LGA,214,4,DCA,0,4,0,Q,ontime
8,UA,LGA,229,0,IAD,0,4,0,A,ontime
9,US,LGA,214,2,DCA,0,4,0,W,ontime
11,US,LGA,214,2,DCA,0,4,0,W,ontime
13,US,LGA,214,2,DCA,0,4,0,W,ontime
15,US,LGA,214,2,DCA,0,4,0,W,ontime
17,US,LGA,214,2,DCA,0,4,0,W,ontime
21,US,LGA,214,2,DCA,0,4,0,W,ontime
14,RU,EWR,169,2,BWI,0,4,0,6,ontime
17,RU,EWR,169,2,BWI,0,4,0,4,ontime
10,RU,EWR,169,2,BWI,0,4,0,9,ontime
7,RU,EWR,169,2,BWI,0,4,0,4,ontime
13,CO,EWR,199,0,DCA,0,4,0,1,ontime
17,CO,EWR,199,0,DCA,0,4,0,7,ontime
8,DH,EWR,213,7,IAD,0,4,0,R,ontime
17,DH,EWR,213,7,IAD,0,4,0,R,ontime
12,DH,EWR,213,7,IAD,0,4,0,R,ontime
21,DH,EWR,213,7,IAD,0,4,0,R,ontime
17,RU,EWR,213,2,IAD,0,4,0,0,ontime
19,RU,EWR,213,2,IAD,0,4,0,9,ontime
15,RU,EWR,199,2,DCA,0,4,0,4,ontime
19,RU,EWR,199,2,DCA,0,4,0,7,ontime
14,RU,EWR,199,2,DCA,0,4,0,3,ontime
15,RU,EWR,213,2,IAD,0,4,0,9,ontime
13,RU,EWR,213,2,IAD,0,4,0,9,ontime
16,RU,EWR,199,2,DCA,0,4,0,6,ontime
14,OH,JFK,184,5,BWI,0,5,0,A,ontime
16,DH,JFK,213,6,DCA,0,5,0,J,ontime
12,DH,LGA,229,7,IAD,0,5,0,R,ontime
14,DH,LGA,229,7,IAD,0,5,0,R,delayed
17,DH,LGA,229,7,IAD,0,5,0,R,ontime
6,DH,LGA,229,7,IAD,0,5,0,R,ontime
10,DH,LGA,229,7,IAD,0,5,0,R,delayed
8,DH,JFK,228,7,IAD,0,5,0,R,ontime
12,DH,JFK,228,7,IAD,0,5,0,E,ontime
14,DH,JFK,228,7,IAD,0,5,0,E,ontime
16,DH,JFK,228,7,IAD,0,5,0,E,ontime
17,DH,JFK,228,7,IAD,0,5,0,E,ontime
21,DH,JFK,228,7,IAD,0,5,0,R,delayed
16,DH,JFK,228,7,IAD,0,5,0,E,ontime
21,DH,LGA,229,7,IAD,0,5,0,R,ontime
14,DL,JFK,213,0,DCA,0,5,0,L,ontime
9,DL,LGA,214,1,DCA,0,5,0,L,ontime
12,DL,LGA,214,1,DCA,0,5,0,L,ontime
14,DL,LGA,214,1,DCA,0,5,0,L,ontime
17,DL,LGA,214,1,DCA,0,5,0,L,ontime
20,DL,LGA,214,1,DCA,0,5,0,L,ontime
15,MQ,JFK,213,4,DCA,0,5,0,Q,ontime
6,MQ,JFK,213,4,DCA,0,5,0,Q,ontime
18,MQ,JFK,213,4,DCA,0,5,0,Q,ontime
9,MQ,LGA,214,4,DCA,0,5,0,Q,ontime
11,MQ,LGA,214,4,DCA,0,5,0,Q,ontime
13,MQ,LGA,214,4,DCA,0,5,0,Q,ontime
14,MQ,LGA,214,4,DCA,0,5,0,Q,ontime
15,MQ,LGA,214,4,DCA,0,5,0,Q,ontime
8,UA,LGA,229,0,IAD,0,5,0,A,ontime
7,US,LGA,214,2,DCA,0,5,0,W,ontime
9,US,LGA,214,2,DCA,0,5,0,W,ontime
11,US,LGA,214,2,DCA,0,5,0,W,ontime
13,US,LGA,214,2,DCA,0,5,0,W,ontime
15,US,LGA,214,2,DCA,0,5,0,W,ontime
17,US,LGA,214,2,DCA,0,5,0,W,ontime
19,US,LGA,214,2,DCA,0,5,0,W,ontime
21,US,LGA,214,2,DCA,0,5,0,W,ontime
17,RU,EWR,169,2,BWI,0,5,0,6,ontime
10,RU,EWR,169,2,BWI,0,5,0,0,ontime
7,RU,EWR,169,2,BWI,0,5,0,1,ontime
14,RU,EWR,169,2,BWI,0,5,0,6,ontime
17,CO,EWR,199,0,DCA,0,5,0,2,ontime
13,CO,EWR,199,0,DCA,0,5,0,4,ontime
7,CO,EWR,199,0,DCA,0,5,0,1,ontime
8,DH,EWR,213,7,IAD,0,5,0,R,ontime
12,DH,EWR,213,7,IAD,0,5,0,R,delayed
14,DH,EWR,213,7,IAD,0,5,0,E,delayed
6,DH,EWR,213,7,IAD,0,5,0,E,ontime
16,RU,EWR,199,2,DCA,0,5,0,7,ontime
7,RU,EWR,213,2,IAD,0,5,0,0,ontime
9,RU,EWR,199,2,DCA,0,5,0,7,ontime
7,RU,EWR,199,2,DCA,0,5,0,7,ontime
17,RU,EWR,213,2,IAD,0,5,0,8,ontime
19,RU,EWR,213,2,IAD,0,5,0,7,ontime
13,RU,EWR,213,2,IAD,0,5,0,5,ontime
9,RU,EWR,213,3,IAD,0,5,0,1,ontime
19,RU,EWR,199,2,DCA,0,5,0,5,ontime
21,RU,EWR,199,2,DCA,0,5,0,8,ontime
14,RU,EWR,199,2,DCA,0,5,0,8,ontime
15,RU,EWR,213,2,IAD,0,5,0,7,delayed
15,RU,EWR,199,2,DCA,0,5,0,4,ontime
12,DH,LGA,229,7,IAD,0,6,0,R,ontime
17,DH,LGA,229,7,IAD,0,6,0,R,ontime
6,DH,LGA,229,7,IAD,0,6,0,R,ontime
10,DH,LGA,229,7,IAD,0,6,0,R,ontime
8,DH,JFK,228,7,IAD,0,6,0,R,ontime
12,DH,JFK,228,7,IAD,0,6,0,E,ontime
14,DH,JFK,228,7,IAD,0,6,0,E,ontime
16,DH,JFK,228,7,IAD,0,6,0,E,ontime
17,DH,JFK,228,7,IAD,0,6,0,E,ontime
21,DH,JFK,228,7,IAD,0,6,0,R,delayed
16,DH,JFK,228,7,IAD,0,6,0,E,ontime
21,DH,LGA,229,7,IAD,0,6,0,R,ontime
14,DL,JFK,213,0,DCA,0,6,0,L,delayed
8,DL,LGA,214,1,DCA,0,6,0,L,ontime
10,DL,LGA,214,1,DCA,0,6,0,L,ontime
12,DL,LGA,214,1,DCA,0,6,0,L,ontime
14,DL,LGA,214,1,DCA,0,6,0,L,ontime
16,DL,LGA,214,1,DCA,0,6,0,L,ontime
18,DL,LGA,214,1,DCA,0,6,0,L,ontime
20,DL,LGA,214,1,DCA,0,6,0,L,ontime
15,MQ,JFK,213,4,DCA,0,6,0,Q,delayed
6,MQ,JFK,213,4,DCA,0,6,0,Q,ontime
18,MQ,JFK,213,4,DCA,0,6,0,Q,ontime
9,MQ,LGA,214,4,DCA,0,6,0,Q,ontime
13,MQ,LGA,214,4,DCA,0,6,0,Q,ontime
8,UA,LGA,229,0,IAD,0,6,0,A,ontime
7,US,LGA,214,2,DCA,0,6,0,W,ontime
9,US,LGA,214,2,DCA,0,6,0,W,ontime
11,US,LGA,214,2,DCA,0,6,0,W,ontime
13,US,LGA,214,2,DCA,0,6,0,W,ontime
15,US,LGA,214,2,DCA,0,6,0,W,ontime
17,US,LGA,214,2,DCA,0,6,0,W,ontime
19,US,LGA,214,2,DCA,0,6,0,W,ontime
17,RU,EWR,169,2,BWI,0,6,0,4,ontime
7,RU,EWR,169,2,BWI,0,6,0,6,ontime
10,RU,EWR,169,2,BWI,0,6,0,7,ontime
14,RU,EWR,169,2,BWI,0,6,0,4,ontime
13,CO,EWR,199,0,DCA,0,6,0,2,ontime
8,DH,EWR,213,7,IAD,0,6,0,R,delayed
17,DH,EWR,213,7,IAD,0,6,0,R,ontime
12,DH,EWR,213,7,IAD,0,6,0,R,delayed
21,DH,EWR,213,7,IAD,0,6,0,R,ontime
6,DH,EWR,213,7,IAD,0,6,0,E,ontime
17,RU,EWR,213,2,IAD,0,6,0,6,ontime
14,RU,EWR,199,2,DCA,0,6,0,3,ontime
7,RU,EWR,213,2,IAD,0,6,0,5,ontime
9,RU,EWR,199,2,DCA,0,6,0,7,ontime
17,RU,EWR,199,2,DCA,0,6,0,8,ontime
16,RU,EWR,199,2,DCA,0,6,0,5,ontime
15,RU,EWR,213,2,IAD,0,6,0,6,ontime
7,RU,EWR,199,2,DCA,0,6,0,7,ontime
14,OH,JFK,184,5,BWI,0,7,0,A,delayed
16,DH,JFK,213,6,DCA,0,7,0,J,ontime
12,DH,LGA,229,7,IAD,0,7,0,R,ontime
14,DH,LGA,229,7,IAD,0,7,0,R,delayed
17,DH,LGA,229,7,IAD,0,7,0,R,delayed
6,DH,LGA,229,7,IAD,0,7,0,R,ontime
10,DH,LGA,229,7,IAD,0,7,0,R,ontime
8,DH,JFK,228,7,IAD,0,7,0,R,ontime
12,DH,JFK,228,7,IAD,0,7,0,E,ontime
14,DH,JFK,228,7,IAD,0,7,0,E,ontime
16,DH,JFK,228,7,IAD,0,7,0,E,ontime
17,DH,JFK,228,7,IAD,0,7,0,E,ontime
21,DH,JFK,228,7,IAD,0,7,0,R,ontime
16,DH,JFK,228,7,IAD,0,7,0,E,ontime
21,DH,LGA,229,7,IAD,0,7,0,R,ontime
14,DL,JFK,213,0,DCA,0,7,0,L,ontime
8,DL,LGA,214,1,DCA,0,7,0,L,ontime
10,DL,LGA,214,1,DCA,0,7,0,L,ontime
12,DL,LGA,214,1,DCA,0,7,0,L,ontime
14,DL,LGA,214,1,DCA,0,7,0,L,ontime
16,DL,LGA,214,1,DCA,0,7,0,L,ontime
18,DL,LGA,214,1,DCA,0,7,0,L,ontime
20,DL,LGA,214,1,DCA,0,7,0,L,ontime
15,MQ,JFK,213,4,DCA,0,7,0,Q,delayed
6,MQ,JFK,213,4,DCA,0,7,0,Q,ontime
7,MQ,JFK,213,4,DCA,0,7,0,Q,ontime
18,MQ,JFK,213,4,DCA,0,7,0,Q,delayed
13,MQ,LGA,214,4,DCA,0,7,0,Q,ontime
15,MQ,LGA,214,4,DCA,0,7,0,Q,delayed
17,MQ,LGA,214,4,DCA,0,7,0,Q,ontime
19,MQ,LGA,214,4,DCA,0,7,0,Q,delayed
8,UA,LGA,229,0,IAD,0,7,0,A,ontime
9,US,LGA,214,2,DCA,0,7,0,W,ontime
10,US,LGA,214,2,DCA,0,7,0,W,ontime
11,US,LGA,214,2,DCA,0,7,0,W,ontime
12,US,LGA,214,2,DCA,0,7,0,W,ontime
13,US,LGA,214,2,DCA,0,7,0,W,ontime
14,US,LGA,214,2,DCA,0,7,0,W,ontime
15,US,LGA,214,2,DCA,0,7,0,W,ontime
16,US,LGA,214,2,DCA,0,7,0,W,ontime
17,US,LGA,214,2,DCA,0,7,0,W,ontime
18,US,LGA,214,2,DCA,0,7,0,W,ontime
19,US,LGA,214,2,DCA,0,7,0,W,ontime
20,US,LGA,214,2,DCA,0,7,0,W,ontime
21,US,LGA,214,2,DCA,0,7,0,W,ontime
14,RU,EWR,169,2,BWI,0,7,0,3,delayed
13,RU,EWR,169,2,BWI,0,7,0,9,delayed
16,RU,EWR,169,2,BWI,0,7,0,3,delayed
10,RU,EWR,169,2,BWI,0,7,0,6,delayed
13,CO,EWR,199,0,DCA,0,7,0,0,ontime
16,CO,EWR,199,0,DCA,0,7,0,9,delayed
8,DH,EWR,213,7,IAD,0,7,0,R,ontime
17,DH,EWR,213,7,IAD,0,7,0,R,delayed
12,DH,EWR,213,7,IAD,0,7,0,R,delayed
21,DH,EWR,213,7,IAD,0,7,0,R,delayed
14,DH,EWR,213,7,IAD,0,7,0,E,delayed
17,RU,EWR,199,2,DCA,0,7,0,6,delayed
9,RU,EWR,199,2,DCA,0,7,0,2,ontime
9,RU,EWR,213,3,IAD,0,7,0,5,ontime
19,RU,EWR,213,2,IAD,0,7,0,8,delayed
14,RU,EWR,199,2,DCA,0,7,0,7,delayed
19,RU,EWR,199,2,DCA,0,7,0,9,delayed
15,RU,EWR,213,2,IAD,0,7,0,1,delayed
14,OH,JFK,184,5,BWI,0,1,0,A,delayed
16,DH,JFK,213,6,DCA,0,1,0,J,delayed
12,DH,LGA,229,7,IAD,0,1,0,R,delayed
14,DH,LGA,229,7,IAD,0,1,0,R,delayed
17,DH,LGA,229,7,IAD,0,1,0,R,delayed
6,DH,LGA,229,7,IAD,0,1,0,R,delayed
10,DH,LGA,229,7,IAD,0,1,0,R,ontime
8,DH,JFK,228,7,IAD,0,1,0,R,delayed
12,DH,JFK,228,7,IAD,0,1,0,E,delayed
16,DH,JFK,228,7,IAD,0,1,0,E,ontime
17,DH,JFK,228,7,IAD,0,1,0,E,ontime
21,DH,JFK,228,7,IAD,0,1,0,R,delayed
16,DH,JFK,228,7,IAD,0,1,0,E,delayed
21,DH,LGA,229,7,IAD,0,1,0,R,ontime
14,DL,JFK,213,0,DCA,0,1,0,L,ontime
6,DL,LGA,214,1,DCA,0,1,0,L,ontime
7,DL,LGA,214,1,DCA,0,1,0,L,ontime
8,DL,LGA,214,1,DCA,0,1,0,L,ontime
9,DL,LGA,214,1,DCA,0,1,0,L,ontime
10,DL,LGA,214,1,DCA,0,1,0,Z,ontime
11,DL,LGA,214,1,DCA,0,1,0,L,ontime
