schedtime,carrier,dest,distance,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay
14.55,OH,JFK,184,5935,BWI,0,4,1,A,ontime
16.4,DH,JFK,213,6155,DCA,0,4,1,J,ontime
12.45,DH,LGA,229,7208,IAD,0,4,1,R,ontime
17.15,DH,LGA,229,7215,IAD,0,4,1,R,ontime
10.39,DH,LGA,229,7792,IAD,0,4,1,R,ontime
8.4,DH,JFK,228,7800,IAD,0,4,1,R,ontime
12.4,DH,JFK,228,7806,IAD,0,4,1,E,ontime
16.45,DH,JFK,228,7810,IAD,0,4,1,E,ontime
17.15,DH,JFK,228,7812,IAD,0,4,1,E,ontime
21.2,DH,JFK,228,7814,IAD,0,4,1,R,ontime
21.2,DH,LGA,229,7924,IAD,0,4,1,R,ontime
14.55,DL,JFK,213,746,DCA,0,4,1,E,ontime
9.3,DL,LGA,214,1746,DCA,0,4,1,L,ontime
12.3,DL,LGA,214,1752,DCA,0,4,1,L,ontime
14.3,DL,LGA,214,1756,DCA,0,4,1,L,ontime
17.3,DL,LGA,214,1762,DCA,0,4,1,L,ontime
20.3,DL,LGA,214,1768,DCA,0,4,1,L,ontime
15.3,MQ,JFK,213,4752,DCA,0,4,1,Q,ontime
6.0,MQ,JFK,213,4760,DCA,0,4,1,Q,ontime
18.3,MQ,JFK,213,4784,DCA,0,4,1,Q,ontime
9.0,MQ,LGA,214,4956,DCA,0,4,1,Q,ontime
13.0,MQ,LGA,214,4964,DCA,0,4,1,Q,ontime
14.0,MQ,LGA,214,4966,DCA,0,4,1,Q,ontime
15.0,MQ,LGA,214,4968,DCA,0,4,1,Q,ontime
19.0,MQ,LGA,214,4976,DCA,0,4,1,Q,ontime
8.5,UA,LGA,229,846,IAD,0,4,1,A,ontime
9.0,US,LGA,214,2164,DCA,0,4,1,W,ontime
11.0,US,LGA,214,2168,DCA,0,4,1,W,ontime
13.0,US,LGA,214,2172,DCA,0,4,1,W,ontime
15.0,US,LGA,214,2176,DCA,0,4,1,W,ontime
17.0,US,LGA,214,2180,DCA,0,4,1,W,ontime
21.0,US,LGA,214,2188,DCA,0,4,1,W,ontime
14.55,RU,EWR,169,2403,BWI,0,4,1,6,ontime
17.2,RU,EWR,169,2675,BWI,0,4,1,4,ontime
10.3,RU,EWR,169,2303,BWI,0,4,1,9,ontime
7.0,RU,EWR,169,2703,BWI,0,4,1,4,ontime
13.0,CO,EWR,199,808,DCA,0,4,1,1,ontime
